# format="Code prestation";"Libellé du code prestation";"Date de fin de validité";"Type de prestation"
# erreurs connues : seuls les actes des specs 24,26,27,28,29 sont complets a ce jour (CDC Add. 6)
"CRS";"Majoration consultation régulée samedi après-midi";"";"Secondaire"
"CS";"Consultation spécialiste";"";"Support"
"CSC";"Consultation spécifique au cabinet par un médecin spécialiste en pathologie cardio-vasculaire – cardiologie – affection vasculaire";"";"Support"
"CST";"Complement surveillance thermales";"";"Secondaire"
"D";"Acte dentaires";"";"Support"
"DAP";"supplément Dérogatoire SMG sur Actes Professionnels remboursables";"";"Secondaire"
"DC";"Acte de chirurgie dentaire";"";"Support"
"DEN";"Actes Dentaires";"";"Support"
"DI";"Démarche de soins infirmiers";"";"Support"
"DPS";"supplément Dérogatoire SMG sur Prestations Sanitaires remboursables";"";"Secondaire"
"DVO";"Divers Orthèses";"";"Support"
"FDA";"Forfait Dentaire pour prothèse Adjointe (dédié à la CMU-C)";"";"Secondaire"
"FDC";"Forfait Dentaire pour prothèse Conjointe (dédié à la CMU-C)";"";"Secondaire"
"FDO";"Forfait Dentaire pour acte dentaire ODF (dédié à la CMU-C)";"";"Secondaire"
"FDR";"Forfait Dentaire pour Réparation de prothèse (dédié à la CMU-C)";"";"Secondaire"
"FHV";"Forfait Honoraires de Ville";"";"Support"
"FMV";"Forfait Médicament de Ville";"";"Secondaire"
"FPC";"Forfait prothèse conjointe (dédié à la CMU-C)";"";"Secondaire"
"FPE";"Forfait pédiatrique";"";"Secondaire"
"FPO";"Forfait orthodontique (dédié à la CMU-C)";"";"Secondaire"
"FSD";"Forfait de Sécurité Dermatologique";"";"Secondaire"
"FTN";"Forfait technique normal";"";"Support"
"FTR";"Forfait technique réduit";"";"Support"
"GLU";"Nutriment pour intolérant au gluten";"";"Support"
"HN";"Hors Nomenclature";"";"Support"
"ID";"Indemnité de Déplacement";"";"Id. FD (1)";"Secondaire"
"IF";"Indemnité Forfaitaire de Déplacement";"";"Secondaire"
"IFA";"Indemnité Forfaitaire de déplacement pour Auxiliaires médicaux et assimiles";"";"Secondaire"
"IFN";"Indemnité Forfaitaire de déplacement MK Neurologique";"";"Secondaire"
"IFO";"Indemnité Forfaitaire de déplacement MK Orthopédique et rhumatologique";"";"Secondaire"
"IFP";"Indemnité Forfaitaire de déplacement MK Pneumologie";"";"Secondaire"
"IFR";"Indemnité Forfaitaire de déplacement MK Rhumatismale";"";"Secondaire"
"IFS";"Indemnité Forfaitaire de déplacement de sortie";"";"Secondaire"
"IK";"Indemnité Kilométrique";"";"Secondaire"
"IKM";"Indemnité Kilométrique Montagne";"";"Secondaire"
"IKS";"Indemnité Kilométrique Spéciale";"";"Secondaire"
"IMP";"Implantologie";"";"Support"
"K";"Acte de spécialité";"";"Support"
"KA ";"Acte de chirurgie d’urgence";"";"Support"
"KB";"Prélèvement directeur de laboratoire";"";"Support"
"KC";"Acte de chirurgie (ou de chirurgie dentaire par stomatologue)";"";"Support"
"KE";"Acte d’échographie, échotomographie ou doppler pratiqué par le médecin ou la sage-femme";"";"Support"
"KGP";"Kit Anti-Grippe";"31/05/2010";"Support"
"KMB";"Prélèvement par ponction veineuse directe par un médecin biologiste";"";"Support"
"KMO";"Acte de phoniatrie par médecin";"";"Support"
"KTH";"Pratique médicale complémentaire en cure thermale";"";"Support"
"LEN";"Lentille optique";"";"Support"
"LUN";"Monture optique";"";"Support"
"MAC";"Matériels et appareils de contention et de maintien (Titre I – chapitre 2 de la LPP)";"";"Support"
"MAD";"Matériels et appareils de traitement divers (Titre I-chapitre 3 de la LPP)";"";"Support"
"MAF";"Majoration consultation Annuelle Famille";"";"Secondaire"
"MAP";"Majoration Anatomo-cytho-pathologiste";"";"Secondaire"
"MAS";"Majoration Annuelle de Synthèse";"";"Secondaire"
"MBB";"Majoration nourrisson avant huit jours";"";"Secondaire"
"MCC";"Majoration cardiologue affectée à la CSC.";"";"Secondaire"
"MCE";"Majoration Consultation Endocrinologue";"";"Secondaire"
"MCG";"Majoration de coordination des généralistes ";"";"Secondaire"
"MCS";"Majoration de coordination spécialiste";"";"Secondaire"
"MD";"Majoration de déplacement ";"";"Secondaire"
"MDD";"Majoration de déplacement critères médicaux ou environnementaux de dimanche ou jour férié";"";"Secondaire"
"MDI";"Majoration de déplacement critères médicaux ou environnementaux en milieu de nuit 24 H à 6 H";"";"Secondaire"
"MDN";"Majoration de déplacement critères médicaux ou environnementaux de nuit de 20 H à 24 H et de 6 H à 8 H";"";"Secondaire"
"MGE";"Majoration Généraliste Enfant";"";"Secondaire"
"MHU";"Médicament homéopathique unitaire";"";"Support"
"MM";"Majoration de milieu de nuit";"";"Secondaire"
"MNO";"Majoration Nourrisson Généraliste";"";"Secondaire"
"MNP";"Majoration Nourrisson Pédiatre";"";"Secondaire"
"MPC";"Majoration Provisoire Cliniciens";"";"Secondaire"
"MPF";"Majoration Première consultation Famille";"";"Secondaire"
"MPI";"Majoration pharmacie délivrée dans les Iles";"";"Secondaire"
"MPJ";"Majoration Provisoire Cliniciens moins de 16 ans";"";"Secondaire"
"MTA";"Majoration consultation appareillage";"";"Secondaire"
"MU";"Majoration d’Urgence";"";"Secondaire"
"OPC";"Orthoprothèses Coûteuses";"";"Support"
"OPM";"Forfait monture (CMU C)";"";"Support"
"OP1";"Forfait optique – N°1 Unifocaux   (CMU C)";"";"Support"
"OP2";"Forfait optique – N°2 Unifocaux (CMU C)";"";"Support"
"OP3";"Forfait optique – N°3 Unifocaux (CMU C)";"";"Support"
"OP4";"Forfait optique – N°4 Multifocaux (CMU C)";"";"Support"
"OP5";"Forfait optique – N°5 Multifocaux  (CMU C)";"";"Support"
"OP6";"Forfait optique – N°6 Multifocaux (CMU C)";"";"Support"
"OPT";"Optique";"";"Support"
"ORP";"Orthoprothèse";"";"Support"
"ORT";"Orthopédie dentofaciale par stomatologue";"";"Support"
"P";"Acte anatomo-cyto-pathologie";"";"Support"
"PA";"Orthèses (Titre II Chapitre 1 de la LP)";"";"Support"
"PAN";"Pansements (Titre 1 – chapitre 4 de la LPP)";"";"Support"
"PAR";"Parodotonlogie";"";"Support"
"PAU";"Prothèse auditive";"";"Support"
"PAV";"Participation Assuré";"";"Secondaire"
"PB";"Prélèvement sanguin par directeur labo. Non médecin";"";"Support"
"PDA";"Prothèses dentaires amovibles";"";"Support"
"PDM";"Dispositif Médical (prise en charge exceptionnelle)";"";"Support"
"PEX";"Prothèse externe non orthopédique";"";"Support"
"PFE";"Prothèses dentaires fixes esthétiques";"";"Support"
"PFM";"Prothèses dentaires fixes métalliques";"";"Support"
"PG7";"Pharmacie spécialité générique vignette blanche";"";"Support"
"PH1";"Pharmacie";"";"Support"
"PH2";"Pharmacie vignette orange";"";"Support"
"PH4";"Pharmacie vignette bleue";"";"Support"
"PH7";"Pharmacie vignette blanche";"";"Support"
"PHA";"Forfait pharmacie accouchement à domicile";"";"Support"
"PHN";"Pharmacie non remboursable";"";"Support"
"PII";"Prothèse interne inerte";"";"Support"
"PM2";"Préparation Magistrale à 15%";"";"Support"
"PM4";"Préparation Magistrale à 35%";"";"Support"
"PMH";"Préparation magistrale Homéopathique";"";"Support"
"PMR";"Préparation magistrale";"";"Support"
"POC";"Prothèse oculaire et facial";"";"Support"
"POD";"Acte de pédicure podologue (Diabétique)";"";"Support"
"PPI";"Préparation Pharmaceutique Individualisée";"";"Support"
"PRO";"Prothèse dentaire par stomatologue";"";"Support"
"RIN";"Radio en Imagerie numérisée prévention bucco dentaire";"28/02/2005";"Support"
"SC";"Soin conservateur par dentiste";"";"Support"
"SCM";"Soins conservateurs par médecin";"";"Support"
"SDE";"Soins dentaires";"";"Support"
"SES";"Suite examen de santé";"";"Support"
"SF";"Acte de sage-femme autre que les actes d’échographie, d’échotomographie ou de doppler";"";"Support"
"SFI";"Soin infirmier par sage-femme";"";"Support"
"SGA";"Supplément dérogatoire SMG sur Actes professionnels non remboursables";"";"Secondaire"
"SGN";"Supplément dérogatoire SMG sur prestations Sanitaires Non remboursables";"";"Secondaire"
"SGS";"Prestation non identifiée par l’Assurance Maladie";"";"Support"
"SNG";"Sang, plasma et dérivés";"";"Support"
"SP";"Examen de suivi post-natal";"";"Support"
"SPR";"Acte de prothèse dentaire par chirurgien dentiste";"";"Support"
"STH";"Forfait surveillance médicale thermale";"";"Support"
"TB";"Prélèvement sanguin par un technicien de laboratoire. ";"";"Support"
"TDR";"Test de diagnostic rapide";"";"Secondaire"
"THR";"Demi-forfait surveillance thermale";"";"Support"
"TNS";"Traitement Nicotinique de Substitution";"";"Support"
"TO";"Traitement d’orthopédie dentofaciale par chirurgien dentiste";"";"Support"
"TOR";"Traitement d’orthodontie";"";"Support"
"UPH";"Urgence pharmacie";"";"Secondaire"
"V";"Visite";"";"Support"
"VA";"Visite d’urgence";"";"Support"
"VAC";"Acte de vaccination grippe A H1N1";"";"Support"
"VDC";"Vidéocapsule";"";"Secondaire"
"VEH";"Véhicule pour handicapé physique";"";"Support"
"VER";"Verre optique";"";"Support"
"VNP";"Visite neuropsychiatre";"";"Support"
"VRD";"Majoration visite régulée dimanche, férié et assimilé";"";"Secondaire"
"VRM";"Majoration astreinte milieu nuit sur la visite";"";"Secondaire"
"VRN";"Majoration astreinte nuit sur la visite";"";"Secondaire"
"VRS";"Majoration visite régulée samedi après-midi";"";"Secondaire"
"VS";"Visite spécialiste";"";"Support"
"Z";"Acte de radiologie";"";"Support"
